빈도
1
1
1
1
1
1
1
2
3
1
5
1
1
1
1
1
1
2
1
3
1
1
1
2
1
12
1
1
1
21
1
1
1
1
1
1
6
1
1
2
1
1
8
1
1
2
3
1
1
2
1
1
1
2
2
2
2
1
1
3
1
1
10
1
1
2
2
2
2
1
1
2
5
1
1
2
1
1
1
4
1
1
2
1
1
2
2
1
1
1
1
5
1
1
4
2
14
2
9
3
1
2
3
3
1
2
1
2
1
1
1
1
1
1
1
1
1
1
3
1
1
5
2
3
1
1
1
1
2
1
2
1
1
1
1
1
4
1
1
1
1
9
1
2
1
1
1
1
1
1
1
2
1
1
2
1
1
1
2
3
2
5
1
1
1
4
5
5
1
1
1
1
1
1
1
1
1
9
1
1
2
2
4
2
1
1
1
1
1
1
1
3
3
4
1
2
1
1
1
1
2
1
1
2
1
1
2
1
4
1
1
1
2
2
1
1
1
1
1
2
2
1
1
1
1
1
1
1
1
1
59
3
1
16
2
1
4
1
1
2
1
5
1
1
1
1
1
1
1
2
1
3
2
2
2
2
2
1
1
2
1
3
1
3
1
2
1
1
1
1
1
8
2
2
1
1
1
1
1
1
10
1
1
1
9
1
2
1
1
1
9
2
1
1
2
1
16
2
1
1
1
1
4
1
1
4
1
2
1
1
1
8
2
2
19
3
1
1
1
38
1
1
2
1
7
1
1
9
2
1
1
1
2
1
7
1
3
1
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
2
1
2
2
1
1
1
2
1
3
1
1
1
1
1
1
2
3
3
1
1
1
2
1
1
6
1
3
1
3
1
17
3
1
2
1
2
2
3
1
7
1
1
2
1
1
1
1
1
1
7
1
1
1
2
1
2
1
1
1
1
2
1
2
5
1
1
5
1
5
1
1
2
2
1
18
2
1
1
4
1
1
2
4
2
21
1
7
1
2
1
11
1
1
3
11
2
9
1
2
5
1
1
5
1
1
2
1
1
1
1
22
1
24
1
1
3
1
1
1
1
2
1
1
1
2
3
1
2
2
1
1
5
1
3
1
1
1
1
3
1
1
1
1
1
1
2
1
1
1
1
1
1
1
3
3
5
1
1
3
1
17
1
2
1
1
1
1
10
2
3
1
1
1
1
2
1
5
15
48
1
1
1
1
1
1
1
2
1
1
17
1
1
9
1
1
1
1
1
8
2
2
1
1
2
1
1
1
1
1
2
1
1
4
2
2
2
1
1
1
1
1
1
1
1
1
1
3
7
1
1
1
2
1
1
4
1
5
3
17
1
1
2
1
1
1
1
1
1
2
1
1
2
6
1
1
1
1
1
2
7
6
4
10
1
3
2
1
2
2
3
1
1
1
4
1
1
2
4
1
1
1
2
4
1
5
2
2
1
2
5
1
1
2
2
1
1
5
5
2
2
1
1
30
1
3
1
1
1
1
1
4
2
1
2
1
1
1
4
5
1
3
1
2
1
10
1
1
2
2
2
25
19
2
3
1
1
1
4
1
1
2
2
1
1
1
2
15
4
20
1
1
1
1
1
1
1
5
2
1
1
1
1
1
20
1
3
3
1
2
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
3
1
1
2
1
1
1
1
11
1
1
5
